,title,tconst
253,Varsity Blues,tt0139699
254,Rudy,tt0108002
255,Friday Night Lights,tt0390022
256,Underdogs,tt1634003
257,Underdogs,tt2123342
258,Next Goal Wins,tt10767052
259,Little Giants,tt0110364
260,Draft Day,tt2223990
261,The Longest Yard,tt0071771
262,Blue Crush,tt0300532
263,Radio,tt0316465
264,The Game Plan,tt0492956
265,Invincible,tt0445990
266,Gridiron Gang,tt0421206
267,We Are Marshall,tt0758794
268,Home Team,tt14592064
269,80 for Brady,tt18079362
270,American Underdog,tt11729298
271,Heaven Can Wait,tt0077663
272,Greater,tt2950418
273,Concussion,tt3322364
274,Balls Out,tt2937254
275,The Program,tt0107889
276,Facing the Giants,tt0805526
277,12 Mighty Orphans,tt8482584
278,My All-American,tt3719896
279,Safety,tt10649016
280,Semi-Tough,tt0078227
281,23 Blast,tt2304459
282,The Express,tt0469903
283,Woodlawn,tt4183692
284,Brian Banks,tt3920820
285,When the Game Stands Tall,tt2247476
286,Air Bud: Golden Receiver,tt0140796
287,Touchback,tt1628055
288,Gus,tt0074599
289,Everybody's All-American,tt0095119
290,Undefeated,tt1860355
291,Run the Race,tt3201736
292,The Boys in the Boat,tt1856080
293,Young Woman and the Sea,tt5177114
294,Soul Surfer,tt1596346
295,Point Break,tt2058673
296,Nyad,tt5302918
297,The Big Blue,tt0095250
298,The Swimmers,tt8745676
299,Surf Ninjas,tt0108258
300,Drown,tt2241750
301,Chasing Mavericks,tt1629757
302,Swimming with Men,tt6532374
303,Big Wednesday,tt0077235
304,The Novice,tt11131464
305,Meet the Deedles,tt0120645
306,Wind,tt0105824
307,Pride,tt0475355
308,The Swimmer,tt15041866
309,Madison,tt0206113
310,Maiden,tt8879946
311,Riding Giants,tt0389326
312,The Endless Summer 2,tt0109729
313,Step Into Liquid,tt0308508
314,Deep Water,tt0460766
315,Turning Tide,tt2165236
316,The Finishers,tt2454430
317,Companion,tt26584495
318,The Wild Robot,tt29623480
319,Subservience,tt24871974
320,Her,tt1798709
321,The Terminator,tt0088247
322,Blade Runner,tt0083658
323,Wallace & Gromit: Vengeance Most Fowl,tt17163970
324,Free Guy,tt6264654
325,Ex Machina,tt0470752
326,Avengers: Age of Ultron,tt2395427
327,WALL·E,tt0910970
328,Upgrade,tt6499752
329,Terminator: Dark Fate,tt6450804
330,Tron: Legacy,tt1104001
331,M3GAN,tt8760708
332,A.I. Artificial Intelligence,tt0212720
333,Y2K,tt27218960
334,Morgan,tt4520364
335,Big Hero 6,tt2245084
336,"I, Robot",tt0343818
337,Ghost in the Shell,tt1219827
338,Ghost in the Shell,tt0113568
339,Finch,tt3420504
340,Afraid,tt24577462
341,Extinction,tt3201640
342,The Mitchells vs. the Machines,tt7979580
343,Tron,tt0084827
344,I Am Mother,tt6292852
345,Transcendence,tt2209764
346,Chappie,tt1823672
347,Flight of the Navigator,tt0091059
348,Short Circuit,tt0091949
349,Archive,tt6882604
350,2010: The Year We Make Contact,tt0086837
351,Virtuosity,tt0114857
352,Bicentennial Man,tt0182789
353,Westworld,tt0070909
354,Automata,tt1971325
355,The Stepford Wives,tt0073747
356,Wifelike,tt15978956
357,Oxygen,tt6341832
358,Ron's Gone Wrong,tt7504818
359,After Yang,tt8633464
360,I'm Your Man,tt13087796
361,Robots,tt12579470
362,S1m0ne,tt0258153
363,Astro Boy,tt0375568
364,D.A.R.Y.L.,tt0088979
365,Demon Seed,tt0075931
366,The Machine,tt2317225
367,Stealth,tt0382992
368,Futureworld,tt0074559
369,Halloween III: Season of the Witch,tt0085636
370,Looker,tt0082677
371,Margaux,tt14967618
372,Zoe,tt6010628
373,Singularity,tt7312940
374,Ghost in the Shell 2: Innocence,tt0347246
375,Summer Wars,tt1474276
376,Star Kid,tt0120478
377,Superintelligence,tt7178640
378,Zone 414,tt8545482
379,Jung_E,tt22352848
380,Heartbeeps,tt0082507
381,Android,tt0083557
382,Max Winslow and the House of Secrets,tt8896632
383,Terra Willy,tt8329148
384,Godzilla: Tokyo S.O.S.,tt0366526
385,C.H.O.M.P.S.,tt0078924
386,Mad Max,tt0079501
387,Escape from New York,tt0082340
388,Bloodsport,tt0092675
389,Death Race 2000,tt0072856
390,The Toxic Avenger,tt0090190
391,Kickboxer,tt0097659
392,Cyborg,tt0097138
393,Over the Top,tt0093692
394,Iron Sky,tt1034314
395,Saw 3D,tt1477076
396,Runaway,tt0088024
397,Assault on Precinct 13,tt0074156
398,War,tt0499556
399,Foxy Brown,tt0071517
400,Lionheart,tt0100029
401,Double Impact,tt0101764
402,Coffy,tt0069897
