from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue
tt0073312,Love and Death,1975.0,85,7.6,42121,3000000,20173742
tt0073317,Lucky Lady,1975.0,118,5.2,1422,13000000,24441725
tt0073440,Nashville,1975.0,160,7.6,29638,2200000,9991258
tt0073486,One Flew Over the Cuckoo's Nest,1975.0,133,8.7,1109867,3000000,108981275
tt0073629,The Rocky Horror Picture Show,1975.0,100,7.4,174013,1400000,170000000
tt0073631,Rollerball,1975.0,125,6.5,30644,6000000,30000000
tt0073692,Shampoo,1975.0,110,6.4,14902,4000000,60000000
tt0073705,Shivers,1975.0,87,6.3,24648,179000,1000000
tt0073747,The Stepford Wives,1975.0,115,6.9,20474,500000,8700000
tt0073768,Supervixens,1975.0,106,5.9,5416,100000,17000000
tt0073802,Three Days of the Condor,1975.0,117,7.4,65360,7800000,41509797
tt0073812,Tommy,1975.0,111,6.6,23404,5000000,34300000
tt0073906,The Wind and the Lion,1975.0,119,6.8,10600,4500000,9200000
tt0074119,All the President's Men,1976.0,138,7.9,130517,8500000,70600000
tt0074174,The Bad News Bears,1976.0,102,7.3,26052,9000000,42349782
tt0074285,Carrie,1976.0,98,7.4,216781,1800000,33800000
tt0074292,The Cassandra Crossing,1976.0,129,6.3,10430,6000000,15300000
tt0074483,The Enforcer,1976.0,96,6.7,50990,9000000,46236000
tt0074559,Futureworld,1976.0,108,5.7,12308,2500000,4200000
tt0074695,Cross of Iron,1977.0,119,7.4,30263,6000000,1509000
tt0074751,King Kong,1976.0,134,6.0,36822,23000000,90614445
tt0074812,Logan's Run,1976.0,119,6.8,63021,9000000,25000000
tt0074896,The Message,1976.0,177,8.1,52196,10000000,15000000
tt0074899,Midway,1976.0,132,6.8,22286,4000000,100000000
tt0074958,Network,1976.0,121,8.1,177805,3800000,23700000
tt0074991,Obsession,1976.0,98,6.7,12603,1400000,4468000
tt0075005,The Omen,1976.0,111,7.5,140507,2800000,60922980
tt0075066,The Pink Panther Strikes Again,1976.0,103,7.1,33115,6000000,33833201
tt0075148,Rocky,1976.0,120,8.1,655175,1000000,225253184
tt0075222,Silent Movie,1976.0,87,6.7,18995,4400000,36145695
tt0075223,Silver Streak,1976.0,114,6.9,22550,6500000,51100000
tt0075314,Taxi Driver,1976.0,114,8.2,970269,1900000,28579636
tt0075359,Two-Minute Warning,1976.0,115,6.2,4554,6700000,6700000
tt0075648,Airport '77,1977.0,114,5.8,13002,6000000,30000000
tt0075686,Annie Hall,1977.0,93,7.9,283200,4000000,38288028
tt0075765,Black Sunday,1977.0,143,6.8,9434,8000000,15769322
tt0075774,Bobby Deerfield,1977.0,124,5.8,4892,6400000,9300000
tt0075784,A Bridge Too Far,1977.0,175,7.4,64186,22000000,50750000
tt0075860,Close Encounters of the Third Kind,1977.0,138,7.6,224375,20000000,306889114
tt0075909,Damnation Alley,1977.0,91,5.3,6086,17000000,8720000
tt0076009,Exorcist II: The Heretic,1977.0,117,3.8,29486,14000000,30749142
tt0076059,Fun with Dick and Jane,1977.0,95,6.4,5025,4500000,13600000
tt0076070,The Gauntlet,1977.0,109,6.4,26068,5500000,26400000
tt0076138,Heroes,1977.0,112,6.1,2213,3200000,33500073
tt0076141,High Anxiety,1977.0,94,6.6,24525,4015000,31063038
tt0076299,The Last Wave,1977.0,106,6.9,11538,810000,1300000
tt0076636,Rollercoaster,1977.0,119,6.3,7182,9000000,8200000
tt0076716,Sinbad and the Eye of the Tiger,1977.0,113,6.4,9045,3500000,16000000
tt0076729,Smokey and the Bandit,1977.0,96,7.0,59300,4300000,126700000
tt0076740,Sorcerer,1977.0,121,7.7,30464,22000000,9000000
tt0076752,The Spy Who Loved Me,1977.0,125,7.0,119748,13500000,185438673
tt0076759,Star Wars: Episode IV - A New Hope,1977.0,121,8.6,1497992,11000000,775398007
tt0076929,Wizards,1977.0,80,6.3,13579,1200000,9000000
tt0077248,Blue Collar,1978.0,114,7.5,11485,1700000,6521083
tt0077269,The Boys from Brazil,1978.0,125,7.0,32048,12000000,19000000
tt0077278,Buck Rogers in the 25th Century,1979.0,89,6.5,7218,3500000,21700000
tt0077294,Capricorn One,1977.0,123,6.8,25980,5000000,12000000
tt0077369,Convoy,1978.0,110,6.3,19805,12000000,45000000
tt0077402,Dawn of the Dead,1978.0,127,7.8,132309,650000,55000000
tt0077413,Death on the Nile,1978.0,140,7.3,41993,7920000,14560084
tt0077416,The Deer Hunter,1978.0,183,8.1,373457,15000000,49000000
tt0077474,The Driver,1978.0,91,7.1,20420,4000000,4900000
tt0077504,The End,1978.0,100,6.1,4558,3000000,45000000
tt0077530,Eyes of Laura Mars,1978.0,104,6.2,12923,7000000,20000000
tt0077531,F.I.S.T.,1978.0,145,6.4,9012,11000000,20388920
tt0077572,Force 10 from Navarone,1978.0,118,6.4,20471,5000000,7230000
tt0077578,Foul Play,1978.0,116,6.8,17827,5000000,45000000
tt0077631,Grease,1978.0,110,7.2,312368,6000000,396271103
tt0077651,Halloween,1978.0,91,7.7,321662,325000,70260597
tt0077663,Heaven Can Wait,1978.0,101,6.9,24480,15000000,98800000
tt0077681,The Hills Have Eyes,1977.0,90,6.3,40898,350000,25000000
tt0077745,Invasion of the Body Snatchers,1978.0,115,7.4,75246,3500000,24946533
tt0077766,Jaws 2,1978.0,116,5.8,87560,20000000,187884000
tt0077807,King of the Gypsies,1978.0,112,6.2,1531,5000000,7325177
tt0077869,The Lord of the Rings,1978.0,132,6.2,37623,4000000,30500000
tt0077928,Midnight Express,1978.0,121,7.5,90803,2300000,35000000
tt0077975,National Lampoon's Animal House,1978.0,109,7.4,132395,2700000,141000000
tt0078087,Piranha,1978.0,94,5.9,26229,660000,16000000
tt0078163,Revenge of the Pink Panther,1978.0,99,6.6,24071,12000000,49579269
tt0078239,Sgt. Pepper's Lonely Hearts Club Band,1978.0,113,4.3,7264,18000000,20378470
tt0078346,Superman,1978.0,143,7.4,195006,55000000,300500000
tt0078350,The Swarm,1978.0,116,4.5,8961,21000000,7700000
tt0078504,The Wiz,1978.0,134,5.6,18084,24000000,21049053
tt0078718,And Justice for All,1979.0,119,7.4,42112,6000000,33300000
tt0078721,10,1979.0,122,6.1,19823,7000000,107000000
tt0078723,1941,1979.0,118,5.8,37417,35000000,94900000
tt0078736,Agatha,1979.0,105,6.2,3822,3500000,7500000
tt0078740,The Concorde... Airport '79,1979.0,113,4.5,7235,14000000,13015688
tt0078748,Alien,1979.0,117,8.5,1008685,11000000,104931801
tt0078754,All That Jazz,1979.0,123,7.8,37416,12000000,37823676
tt0078788,Apocalypse Now,1979.0,147,8.4,737085,31500000,150000000
tt0078869,The Black Hole,1979.0,98,5.9,28961,20000000,35841901
tt0078902,Breaking Away,1979.0,101,7.7,26442,2300000,20000000
tt0078908,The Brood,1979.0,92,6.8,36039,1355000,5000000
tt0078966,The China Syndrome,1979.0,122,7.4,34365,5900000,51718367
tt0079116,Escape from Alcatraz,1979.0,112,7.6,154156,8000000,43004381
tt0079153,Firepower,1979.0,104,5.1,1249,8000000,1200000
tt0079168,A Force of One,1979.0,90,5.1,4546,3500000,20166000
tt0079180,The Frisco Kid,1979.0,119,6.3,11909,9200000,9300000
tt0079219,Going in Style,1979.0,97,7.1,4255,5500000,30000000
tt0079227,Good Guys Wear Black,1978.0,95,5.1,3950,1000000,18300000
tt0079239,The Great Santini,1979.0,115,7.1,7236,4000000,4700000
tt0079261,Hair,1979.0,121,7.5,42409,11000000,15313606
tt0079285,Saturn 3,1980.0,88,5.1,10994,10000000,4900000
tt0079336,The In-Laws,1979.0,103,7.3,10503,9000000,38200000
tt0079367,The Jerk,1979.0,94,7.1,66088,4000000,100000000
tt0079470,Monty Python's Life of Brian,1979.0,94,8.0,427747,4000000,20700000
tt0079501,Mad Max,1979.0,88,6.8,237297,350000,100000000
tt0079522,Manhattan,1979.0,96,7.8,150304,9000000,40194067
tt0079550,Meteor,1979.0,108,5.1,8758,16000000,12600000
tt0079574,Moonraker,1979.0,126,6.3,112299,34000000,210308099
tt0079588,The Muppet Movie,1979.0,95,7.6,40782,8000000,75200000
tt0079638,Norma Rae,1979.0,114,7.3,13319,4500000,22228000
tt0079714,Phantasm,1979.0,89,6.6,42809,300000,11988469
tt0079753,The Prisoner of Zenda,1979.0,108,5.2,1407,10000000,15300000
tt0079817,Rocky II,1979.0,119,7.3,238951,7000000,85187855
tt0079945,Star Trek: The Motion Picture,1979.0,143,6.4,99197,44000000,139346243
tt0080310,Breaker Morant,1980.0,107,7.8,14873,1000000,8200000
