title,year,subgenres
Seven Samurai,1954.0,"['action-epic', 'epic-drama', 'period-drama', 'samurai-action']"
I Am Legend,2007.0,"['action-epic', 'dystopian-sci-fi', 'survival-adventure', 'zombie-horror']"
Princess Mononoke,1997.0,"['action-epic', 'dark-fantasy', 'epic-adventure', 'epic-fantasy', 'quest-adventure']"
Sisu,2022.0,"['action-epic', 'one-person-army-action']"
The Last of the Mohicans,1992.0,"['action-epic', 'epic-romance', 'epic-war', 'period-drama', 'tragedy-drama']"
Daredevil,2003.0,"['action-epic', 'gun-fu-action', 'martial-arts-action', 'one-person-army-action', 'serial-killer-crime', 'superhero-action']"
F9: The Fast Saga,2021.0,"['action-epic', 'car-action']"
RRR,2022.0,"['action-epic', 'epic-drama', 'period-drama']"
The Expendables 4,2023.0,['action-epic']
The Hobbit: The Battle of the Five Armies,2014.0,"['action-epic', 'epic-adventure', 'epic-fantasy', 'mountain-adventure', 'quest-adventure', 'sword-and-sorcery-fantasy']"
Fast Five,2011.0,"['action-epic', 'caper-crime', 'car-action']"
Kill,2023.0,"['action-epic', 'one-person-army-action']"
The Book of Eli,2010.0,"['action-epic', 'contemporary-western', 'desert-adventure', 'epic-adventure', 'one-person-army-action', 'quest-adventure', 'road-trip-adventure']"
xXx,2002.0,"['action-epic', 'globetrotting-adventure', 'spy-thriller']"
The Road Warrior,1981.0,"['action-epic', 'car-action', 'desert-adventure', 'dystopian-sci-fi', 'epic-adventure', 'epic-drama', 'epic-sci-fi', 'tragedy-drama']"
Robin Hood,2010.0,"['action-epic', 'epic-drama', 'period-drama', 'swashbuckler-adventure']"
"Crouching Tiger, Hidden Dragon",2000.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-fantasy', 'epic-romance', 'martial-arts-action', 'period-drama', 'quest-adventure', 'sword-and-sorcery-fantasy', 'wuxia-action']"
Godzilla: King of the Monsters,2019.0,"['action-epic', 'dark-fantasy', 'dinosaur-adventure', 'disaster-action', 'giant-monster-sci-fi', 'supernatural-fantasy', 'urban-adventure']"
Atlas,2024.0,"['action-epic', 'artificial-intelligence-sci-fi', 'space-sci-fi']"
Akira,1988.0,"['action-epic', 'cyberpunk-sci-fi', 'dark-fantasy', 'dystopian-sci-fi', 'epic-drama', 'epic-fantasy', 'epic-sci-fi', 'political-drama', 'supernatural-fantasy']"
Rebel Moon - Part Two: The Scargiver,2024.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-fantasy', 'epic-sci-fi', 'gun-fu-action', 'space-sci-fi']"
300: Rise of an Empire,2014.0,"['action-epic', 'epic-drama', 'sword-and-sandal-action']"
Fast & Furious 6,2013.0,"['action-epic', 'car-action']"
Exodus: Gods and Kings,2014.0,"['action-epic', 'epic-drama', 'epic-fantasy', 'period-drama', 'sword-and-sandal-action']"
The Woman King,2022.0,"['action-epic', 'epic-history']"
War for the Planet of the Apes,2017.0,"['action-epic', 'dystopian-sci-fi', 'epic-adventure', 'epic-drama', 'epic-sci-fi']"
Neon Genesis Evangelion: The End of Evangelion,1997.0,"['action-epic', 'alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'cyberpunk-sci-fi', 'dystopian-sci-fi', 'epic-drama', 'epic-sci-fi', 'giant-monster-sci-fi', 'psychological-drama', 'teen-drama', 'tragedy-drama']"
Mad Max Beyond Thunderdome,1985.0,"['action-epic', 'car-action', 'desert-adventure', 'dystopian-sci-fi', 'one-person-army-action', 'quest-adventure']"
The Last Kingdom: Seven Kings Must Die,2023.0,['action-epic']
Extraction 3,,['action-epic']
