from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue,from_budget_formatted,from_revenue_formatted,budget_2023,revenue_2023,budget_2023_formatted,revenue_2023_formatted
tt0069897,Coffy,1973,90,6.8,13802,500000,4000000,"500,000","4,000,000",3431328.828828829,27450630.63063063,"3,431,328","27,450,630"
tt0069976,Dillinger,1973,107,6.9,6111,1000000,2000000,"1,000,000","2,000,000",6862657.657657658,13725315.315315315,"6,862,657","13,725,315"
tt0070034,Enter the Dragon,1973,102,7.6,116125,850000,400000000,"850,000","400,000,000",5833259.009009009,2745063063.063063,"5,833,259","2,745,063,063"
tt0070047,The Exorcist,1973,122,8.1,474372,12000000,441306145,"12,000,000","441,306,145",82351891.8918919,3028532995.3556304,"82,351,891","3,028,532,995"
tt0070165,Heavy Traffic,1973,77,6.5,3927,950000,1500000,"950,000","1,500,000",6519524.774774775,10293986.486486487,"6,519,524","10,293,986"
tt0070239,Jesus Christ Superstar,1973,106,7.4,30805,3500000,24593103,"3,500,000","24,593,103",24019301.8018018,168774046.62851351,"24,019,301","168,774,046"
tt0070287,The Last American Hero,1973,95,6.4,2343,2000000,1000000,"2,000,000","1,000,000",13725315.315315315,6862657.657657658,"13,725,315","6,862,657"
tt0070290,The Last Detail,1973,104,7.5,29709,2300000,10000000,"2,300,000","10,000,000",15784112.612612613,68626576.57657658,"15,784,112","68,626,576"
tt0070328,Live and Let Die,1973,121,6.7,119114,7000000,126400000,"7,000,000","126,400,000",48038603.6036036,867439927.927928,"48,038,603","867,439,927"
tt0070334,The Long Goodbye,1973,112,7.5,40039,1700000,959000,"1,700,000","959,000",11666518.018018018,6581288.693693694,"11,666,518","6,581,288"
tt0070337,Lost Horizon,1973,150,5.2,2991,5900000,3800000,"5,900,000","3,800,000",40489680.180180185,26078099.0990991,"40,489,680","26,078,099"
tt0070379,Mean Streets,1973,112,7.2,123546,500000,3000000,"500,000","3,000,000",3431328.828828829,20587972.972972974,"3,431,328","20,587,972"
tt0070510,Paper Moon,1973,102,8.1,54618,2500000,30900000,"2,500,000","30,900,000",17156644.144144144,212056121.62162164,"17,156,644","212,056,121"
tt0070511,Papillon,1973,151,8.0,141701,12000000,53267000,"12,000,000","53,267,000",82351891.8918919,365553185.4504505,"82,351,891","365,553,185"
tt0070608,Robin Hood,1973,83,7.5,143785,5000000,33000000,"5,000,000","33,000,000",34313288.28828829,226467702.7027027,"34,313,288","226,467,702"
tt0070666,Serpico,1973,130,7.7,140101,3000000,29800000,"3,000,000","29,800,000",20587972.972972974,204507198.1981982,"20,587,972","204,507,198"
tt0070698,Sisters,1972,93,6.9,22030,500000,1000000,"500,000","1,000,000",3644760.7655502395,7289521.531100479,"3,644,760","7,289,521"
tt0070707,Sleeper,1973,89,7.1,45569,2000000,18344729,"2,000,000","18,344,729",13725315.315315315,125893594.94950451,"13,725,315","125,893,594"
tt0070735,The Sting,1973,129,8.3,288607,5500000,159616327,"5,500,000","159,616,327",37744617.11711712,1095392208.7737389,"37,744,617","1,095,392,208"
tt0070909,Westworld,1973,88,6.9,64791,1200000,10000000,"1,200,000","10,000,000",8235189.189189189,68626576.57657658,"8,235,189","68,626,576"
tt0070917,The Wicker Man,1973,88,7.5,98869,810000,513000,"810,000","513,000",5558752.702702703,3520543.3783783787,"5,558,752","3,520,543"
tt0071110,Airport 1975,1974,107,5.7,12595,3000000,47000000,"3,000,000","47,000,000",18541703.853955377,290486693.7119676,"18,541,703","290,486,693"
tt0071222,Black Christmas,1974,98,7.1,52490,686000,4000000,"686,000","4,000,000",4239869.614604463,24722271.805273835,"4,239,869","24,722,271"
tt0071230,Blazing Saddles,1974,93,7.7,157787,2600000,119500000,"2,600,000","119,500,000",16069476.673427993,738577870.1825558,"16,069,476","738,577,870"
tt0071249,Bring Me the Head of Alfredo Garcia,1974,112,7.4,22285,1500000,700000,"1,500,000","700,000",9270851.926977688,4326397.5659229215,"9,270,851","4,326,397"
tt0071315,Chinatown,1974,130,8.1,362781,6000000,30000000,"6,000,000","30,000,000",37083407.707910754,185417038.53955376,"37,083,407","185,417,038"
tt0071360,The Conversation,1974,113,7.7,129032,1600000,4794457,"1,600,000","4,794,457",9888908.722109534,29632467.27817444,"9,888,908","29,632,467"
tt0071402,Death Wish,1974,93,6.9,45755,3000000,76600000,"3,000,000","76,600,000",18541703.853955377,473431505.07099396,"18,541,703","473,431,505"
tt0071455,Earthquake,1974,122,5.9,18539,7000000,79666653,"7,000,000","79,666,653",43263975.65922921,492385162.3206085,"43,263,975","492,385,162"
tt0071562,The Godfather Part II,1974,202,9.0,1419160,13000000,102600000,"13,000,000","102,600,000",80347383.36713997,634126271.8052739,"80,347,383","634,126,271"
tt0071571,Gone in 60 Seconds,1974,98,6.3,10294,1000000,40000000,"1,000,000","40,000,000",6180567.951318459,247222718.05273834,"6,180,567","247,222,718"
tt0071577,The Great Gatsby,1974,144,6.4,27484,6500000,26533200,"6,500,000","26,533,200",40173691.68356998,163990245.56592292,"40,173,691","163,990,245"
tt0071598,Harry and Tonto,1974,115,7.3,6467,980000,4600000,"980,000","4,600,000",6056956.59229209,28430612.57606491,"6,056,956","28,430,612"
tt0071675,It's Alive,1974,91,5.8,9347,500000,7100000,"500,000","7,100,000",3090283.9756592293,43882032.45436106,"3,090,283","43,882,032"
tt0071771,The Longest Yard,1974,121,7.1,22245,2900000,43008075,"2,900,000","43,008,075",17923647.05882353,265814329.9929006,"17,923,647","265,814,329"
tt0071807,The Man with the Golden Gun,1974,125,6.7,116513,7000000,97600000,"7,000,000","97,600,000",43263975.65922921,603223432.0486816,"43,263,975","603,223,432"
tt0071853,Monty Python and the Holy Grail,1975,91,8.2,584675,400000,5028948,"400,000","5,028,948",2265442.379182156,28481979.804758366,"2,265,442","28,481,979"
tt0071877,Murder on the Orient Express,1974,128,7.2,71644,1400000,35700000,"1,400,000","35,700,000",8652795.131845843,220646275.86206898,"8,652,795","220,646,275"
tt0072081,The Return of the Pink Panther,1975,113,7.0,30891,5000000,41833347,"5,000,000","41,833,347",28318029.739776954,236927592.8920818,"28,318,029","236,927,592"
tt0072226,The Sugarland Express,1974,110,6.7,20421,3000000,12800000,"3,000,000","12,800,000",18541703.853955377,79111269.77687627,"18,541,703","79,111,269"
tt0072271,The Texas Chain Saw Massacre,1974,83,7.4,196455,140000,30900000,"140,000","30,900,000",865279.5131845842,190979549.69574037,"865,279","190,979,549"
tt0072288,Thunderbolt and Lightfoot,1974,115,7.0,30310,4000000,25000000,"4,000,000","25,000,000",24722271.805273835,154514198.78296146,"24,722,271","154,514,198"
tt0072308,The Towering Inferno,1974,165,7.0,50079,14000000,116000000,"14,000,000","116,000,000",86527951.31845842,716945882.3529413,"86,527,951","716,945,882"
tt0072431,Young Frankenstein,1974,106,8.0,174699,2800000,86273333,"2,800,000","86,273,333",17305590.263691686,533218196.99322516,"17,305,590","533,218,196"
tt0072608,The Adventure of Sherlock Holmes' Smarter Brother,1975,91,6.0,7553,2800000,20000000,"2,800,000","20,000,000",15858096.654275093,113272118.95910782,"15,858,096","113,272,118"
tt0072665,At Long Last Love,1975,118,5.3,1458,6000000,1500000,"6,000,000","1,500,000",33981635.68773235,8495408.921933087,"33,981,635","8,495,408"
tt0072730,A Boy and His Dog,1975,91,6.4,20034,400000,6900000,"400,000","6,900,000",2265442.379182156,39078881.0408922,"2,265,442","39,078,881"
tt0072761,Capone,1975,101,5.7,3342,970000,2000000,"970,000","2,000,000",5493697.769516729,11327211.89591078,"5,493,697","11,327,211"
tt0072856,Death Race 2000,1975,80,6.2,32273,300000,8000000,"300,000","8,000,000",1699081.7843866171,45308847.58364312,"1,699,081","45,308,847"
tt0072890,Dog Day Afternoon,1975,125,8.0,280655,1800000,46665856,"1,800,000","46,665,856",10194490.706319703,264297019.60802975,"10,194,490","264,297,019"
tt0072895,Dolemite,1975,90,5.6,7066,120000,12000000,"120,000","12,000,000",679632.7137546468,67963271.3754647,"679,632","67,963,271"
tt0072973,"Farewell, My Lovely",1975,95,7.0,10182,2500000,2000000,"2,500,000","2,000,000",14159014.869888477,11327211.89591078,"14,159,014","11,327,211"
tt0073096,Hearts of the West,1975,102,6.5,1832,2000000,1600000,"2,000,000","1,600,000",11327211.89591078,9061769.516728625,"11,327,211","9,061,769"
tt0073195,Jaws,1975,124,8.1,689396,7000000,470653000,"7,000,000","470,653,000",39645241.63568773,2665593130.2230487,"39,645,241","2,665,593,130"
tt0073240,The Killer Elite,1975,122,6.0,7661,5000000,1000000,"5,000,000","1,000,000",28318029.739776954,5663605.94795539,"28,318,029","5,663,605"
tt0073282,Let's Do It Again,1975,110,6.7,3465,70000,11800000,"70,000","11,800,000",396452.41635687737,66830550.18587361,"396,452","66,830,550"
tt0073312,Love and Death,1975,85,7.6,42121,3000000,20173742,"3,000,000","20,173,742",16990817.843866173,114256125.18371747,"16,990,817","114,256,125"
tt0073317,Lucky Lady,1975,118,5.2,1422,13000000,24441725,"13,000,000","24,441,725",73626877.32342008,138428299.08828998,"73,626,877","138,428,299"
tt0073440,Nashville,1975,160,7.6,29638,2200000,9991258,"2,200,000","9,991,258",12459933.085501859,56586548.236356884,"12,459,933","56,586,548"
tt0073486,One Flew Over the Cuckoo's Nest,1975,133,8.7,1109867,3000000,108981275,"3,000,000","108,981,275",16990817.843866173,617226997.305762,"16,990,817","617,226,997"
tt0073629,The Rocky Horror Picture Show,1975,100,7.4,174013,1400000,170000000,"1,400,000","170,000,000",7929048.327137547,962813011.1524163,"7,929,048","962,813,011"
tt0073631,Rollerball,1975,125,6.5,30644,6000000,30000000,"6,000,000","30,000,000",33981635.68773235,169908178.43866172,"33,981,635","169,908,178"
tt0073692,Shampoo,1975,110,6.4,14902,4000000,60000000,"4,000,000","60,000,000",22654423.79182156,339816356.87732345,"22,654,423","339,816,356"
tt0073705,Shivers,1975,87,6.3,24648,179000,1000000,"179,000","1,000,000",1013785.4646840149,5663605.94795539,"1,013,785","5,663,605"
tt0073747,The Stepford Wives,1975,115,6.9,20474,500000,8700000,"500,000","8,700,000",2831802.973977695,49273371.747211896,"2,831,802","49,273,371"
tt0073768,Supervixens,1975,106,5.9,5416,100000,17000000,"100,000","17,000,000",566360.594795539,96281301.11524165,"566,360","96,281,301"
tt0073802,Three Days of the Condor,1975,117,7.4,65360,7800000,41509797,"7,800,000","41,509,797",44176126.39405204,235095133.18762082,"44,176,126","235,095,133"
tt0073812,Tommy,1975,111,6.6,23404,5000000,34300000,"5,000,000","34,300,000",28318029.739776954,194261684.0148699,"28,318,029","194,261,684"
tt0073906,The Wind and the Lion,1975,119,6.8,10600,4500000,9200000,"4,500,000","9,200,000",25486226.765799258,52105174.721189596,"25,486,226","52,105,174"
tt0074119,All the President's Men,1976,138,7.9,130517,8500000,70600000,"8,500,000","70,600,000",45517873.46221441,378066101.93321615,"45,517,873","378,066,101"
tt0074174,The Bad News Bears,1976,102,7.3,26052,9000000,42349782,"9,000,000","42,349,782",48195395.43057997,226784943.3209842,"48,195,395","226,784,943"
tt0074285,Carrie,1976,98,7.4,216781,1800000,33800000,"1,800,000","33,800,000",9639079.086115994,181000485.06151143,"9,639,079","181,000,485"
tt0074292,The Cassandra Crossing,1976,129,6.3,10430,6000000,15300000,"6,000,000","15,300,000",32130263.620386645,81932172.23198594,"32,130,263","81,932,172"
tt0074483,The Enforcer,1976,96,6.7,50990,9000000,46236000,"9,000,000","46,236,000",48195395.43057997,247595811.45869946,"48,195,395","247,595,811"
tt0074559,Futureworld,1976,108,5.7,12308,2500000,4200000,"2,500,000","4,200,000",13387609.841827769,22491184.53427065,"13,387,609","22,491,184"
tt0074695,Cross of Iron,1977,119,7.4,30263,6000000,1509000,"6,000,000","1,509,000",30168514.851485148,7587381.485148515,"30,168,514","7,587,381"
tt0074751,King Kong,1976,134,6.0,36822,23000000,90614445,"23,000,000","90,614,445",123166010.54481547,485244334.2775044,"123,166,010","485,244,334"
tt0074812,Logan's Run,1976,119,6.8,63021,9000000,25000000,"9,000,000","25,000,000",48195395.43057997,133876098.41827768,"48,195,395","133,876,098"
tt0074896,The Message,1976,177,8.1,52196,10000000,15000000,"10,000,000","15,000,000",53550439.367311075,80325659.0509666,"53,550,439","80,325,659"
tt0074899,Midway,1976,132,6.8,22286,4000000,100000000,"4,000,000","100,000,000",21420175.74692443,535504393.6731107,"21,420,175","535,504,393"
tt0074958,Network,1976,121,8.1,177805,3800000,23700000,"3,800,000","23,700,000",20349166.95957821,126914541.30052724,"20,349,166","126,914,541"
tt0074991,Obsession,1976,98,6.7,12603,1400000,4468000,"1,400,000","4,468,000",7497061.511423551,23926336.309314586,"7,497,061","23,926,336"
tt0075005,The Omen,1976,111,7.5,140507,2800000,60922980,"2,800,000","60,922,980",14994123.022847101,326245234.6565905,"14,994,123","326,245,234"
tt0075066,The Pink Panther Strikes Again,1976,103,7.1,33115,6000000,33833201,"6,000,000","33,833,201",32130263.620386645,181178277.87525484,"32,130,263","181,178,277"
tt0075148,Rocky,1976,120,8.1,655175,1000000,225253184,"1,000,000","225,253,184",5355043.9367311075,1206240697.2085764,"5,355,043","1,206,240,697"
tt0075222,Silent Movie,1976,87,6.7,18995,4400000,36145695,"4,400,000","36,145,695",23562193.321616873,193561784.8486819,"23,562,193","193,561,784"
tt0075223,Silver Streak,1976,114,6.9,22550,6500000,51100000,"6,500,000","51,100,000",34807785.588752195,273642745.1669596,"34,807,785","273,642,745"
tt0075314,Taxi Driver,1976,114,8.2,970269,1900000,28579636,"1,900,000","28,579,636",10174583.479789104,153045206.47578207,"10,174,583","153,045,206"
tt0075359,Two-Minute Warning,1976,115,6.2,4554,6700000,6700000,"6,700,000","6,700,000",35878794.37609842,35878794.37609842,"35,878,794","35,878,794"
tt0075648,Airport '77,1977,114,5.8,13002,6000000,30000000,"6,000,000","30,000,000",30168514.851485148,150842574.25742573,"30,168,514","150,842,574"
tt0075686,Annie Hall,1977,93,7.9,283200,4000000,38288028,"4,000,000","38,288,028",20112343.23432343,192515490.22534654,"20,112,343","192,515,490"
tt0075765,Black Sunday,1977,143,6.8,9434,8000000,15769322,"8,000,000","15,769,322",40224686.46864686,79289504.15914191,"40,224,686","79,289,504"
tt0075774,Bobby Deerfield,1977,124,5.8,4892,6400000,9300000,"6,400,000","9,300,000",32179749.17491749,46761198.01980198,"32,179,749","46,761,198"
tt0075784,A Bridge Too Far,1977,175,7.4,64186,22000000,50750000,"22,000,000","50,750,000",110617887.78877887,255175354.78547853,"110,617,887","255,175,354"
tt0075860,Close Encounters of the Third Kind,1977,138,7.6,224375,20000000,306889114,"20,000,000","306,889,114",100561716.17161717,1543064798.911353,"100,561,716","1,543,064,798"
tt0075909,Damnation Alley,1977,91,5.3,6086,17000000,8720000,"17,000,000","8,720,000",85477458.74587458,43844908.250825085,"85,477,458","43,844,908"
tt0076009,Exorcist II: The Heretic,1977,117,3.8,29486,14000000,30749142,"14,000,000","30,749,142",70393201.32013202,154609324.51623762,"70,393,201","154,609,324"
tt0076059,Fun with Dick and Jane,1977,95,6.4,5025,4500000,13600000,"4,500,000","13,600,000",22626386.13861386,68381966.99669966,"22,626,386","68,381,966"
